NOM BARRI,EDATS,TOTAL HOMES,TOTAL DONES,TOTAL
CENTRE HISTORIC,DE   0  A   5  ANYS,337,317,654
CENTRE HISTORIC,DE   6  A  10  ANYS,258,249,507
CENTRE HISTORIC,DE  11  A  15  ANYS,209,185,394
CENTRE HISTORIC,DE  16  A  20  ANYS,223,211,434
CENTRE HISTORIC,DE  21  A  25  ANYS,292,310,602
CENTRE HISTORIC,DE  26  A  30  ANYS,376,331,707
CENTRE HISTORIC,DE  31  A  35  ANYS,506,452,958
CENTRE HISTORIC,DE  36  A  40  ANYS,701,438,1139
CENTRE HISTORIC,DE  41  A  45  ANYS,609,422,1031
CENTRE HISTORIC,DE  46  A  50  ANYS,499,373,872
CENTRE HISTORIC,DE  51  A  55  ANYS,411,331,742
CENTRE HISTORIC,DE  56  A  60  ANYS,263,224,487
CENTRE HISTORIC,DE  61  A  65  ANYS,216,192,408
CENTRE HISTORIC,DE  66  A  70  ANYS,139,147,286
CENTRE HISTORIC,DE  71  A  75  ANYS,127,177,304
CENTRE HISTORIC,DE  76  A  80  ANYS,88,160,248
CENTRE HISTORIC,MES   DE   80  ANYS,171,382,553
RAMBLA FERRAN - ESTACIO,DE   0  A   5  ANYS,112,114,226
RAMBLA FERRAN - ESTACIO,DE   6  A  10  ANYS,81,87,168
RAMBLA FERRAN - ESTACIO,DE  11  A  15  ANYS,68,77,145
RAMBLA FERRAN - ESTACIO,DE  16  A  20  ANYS,83,92,175
RAMBLA FERRAN - ESTACIO,DE  21  A  25  ANYS,125,123,248
RAMBLA FERRAN - ESTACIO,DE  26  A  30  ANYS,142,154,296
RAMBLA FERRAN - ESTACIO,DE  31  A  35  ANYS,204,148,352
RAMBLA FERRAN - ESTACIO,DE  36  A  40  ANYS,215,163,378
RAMBLA FERRAN - ESTACIO,DE  41  A  45  ANYS,225,163,388
RAMBLA FERRAN - ESTACIO,DE  46  A  50  ANYS,177,144,321
RAMBLA FERRAN - ESTACIO,DE  51  A  55  ANYS,158,153,311
RAMBLA FERRAN - ESTACIO,DE  56  A  60  ANYS,118,130,248
