NOM BARRI,EDATS,TOTAL HOMES,TOTAL DONES,TOTAL
CENTRE HISTORIC,DE   0  A   5  ANYS,344,345,689
CENTRE HISTORIC,DE   6  A  10  ANYS,276,229,505
CENTRE HISTORIC,DE  11  A  15  ANYS,200,163,363
CENTRE HISTORIC,DE  16  A  20  ANYS,220,223,443
CENTRE HISTORIC,DE  21  A  25  ANYS,324,295,619
CENTRE HISTORIC,DE  26  A  30  ANYS,401,379,780
CENTRE HISTORIC,DE  31  A  35  ANYS,562,488,1050
CENTRE HISTORIC,DE  36  A  40  ANYS,690,451,1141
CENTRE HISTORIC,DE  41  A  45  ANYS,599,440,1039
CENTRE HISTORIC,DE  46  A  50  ANYS,492,360,852
CENTRE HISTORIC,DE  51  A  55  ANYS,394,303,697
CENTRE HISTORIC,DE  56  A  60  ANYS,255,214,469
CENTRE HISTORIC,DE  61  A  65  ANYS,203,183,386
CENTRE HISTORIC,DE  66  A  70  ANYS,136,151,287
CENTRE HISTORIC,DE  71  A  75  ANYS,114,175,289
CENTRE HISTORIC,DE  76  A  80  ANYS,99,179,278
CENTRE HISTORIC,MES   DE   80  ANYS,172,405,577
RAMBLA FERRAN - ESTACIO,DE   0  A   5  ANYS,114,114,228
RAMBLA FERRAN - ESTACIO,DE   6  A  10  ANYS,72,97,169
RAMBLA FERRAN - ESTACIO,DE  11  A  15  ANYS,77,68,145
RAMBLA FERRAN - ESTACIO,DE  16  A  20  ANYS,82,77,159
RAMBLA FERRAN - ESTACIO,DE  21  A  25  ANYS,129,144,273
RAMBLA FERRAN - ESTACIO,DE  26  A  30  ANYS,159,175,334
RAMBLA FERRAN - ESTACIO,DE  31  A  35  ANYS,220,166,386
RAMBLA FERRAN - ESTACIO,DE  36  A  40  ANYS,237,164,401
RAMBLA FERRAN - ESTACIO,DE  41  A  45  ANYS,234,150,384
RAMBLA FERRAN - ESTACIO,DE  46  A  50  ANYS,172,152,324
RAMBLA FERRAN - ESTACIO,DE  51  A  55  ANYS,150,144,294
RAMBLA FERRAN - ESTACIO,DE  56  A  60  ANYS,121,125,246
RAMBLA FERRAN - ESTACIO,DE  61  A  65  ANYS,92,103,195
RAMBLA FERRAN - ESTACIO,DE  66  A  70  ANYS,69,62,131
RAMBLA FERRAN - ESTACIO,DE  71  A  75  ANYS,39,51,90
RAMBLA FERRAN - ESTACIO,DE  76  A  80  ANYS,38,58,96
RAMBLA FERRAN - ESTACIO,MES   DE   80  ANYS,56,117,173
UNIVERSITAT,DE   0  A   5  ANYS,273,250,523
UNIVERSITAT,DE   6  A  10  ANYS,214,213,427
UNIVERSITAT,DE  11  A  15  ANYS,204,235,439
UNIVERSITAT,DE  16  A  20  ANYS,266,274,540
UNIVERSITAT,DE  21  A  25  ANYS,291,381,672
