NOM BARRI,EDATS,TOTAL HOMES,TOTAL DONES,TOTAL
CENTRE HISTORIC,DE   0  A   5  ANYS,332,314,646
CENTRE HISTORIC,DE   6  A  10  ANYS,272,252,524
CENTRE HISTORIC,DE  11  A  15  ANYS,197,182,379
CENTRE HISTORIC,DE  16  A  20  ANYS,234,195,429
CENTRE HISTORIC,DE  21  A  25  ANYS,303,324,627
CENTRE HISTORIC,DE  26  A  30  ANYS,359,321,680
CENTRE HISTORIC,DE  31  A  35  ANYS,491,397,888
CENTRE HISTORIC,DE  36  A  40  ANYS,685,433,1118
CENTRE HISTORIC,DE  41  A  45  ANYS,634,442,1076
CENTRE HISTORIC,DE  46  A  50  ANYS,533,382,915
CENTRE HISTORIC,DE  51  A  55  ANYS,427,326,753
CENTRE HISTORIC,DE  56  A  60  ANYS,288,250,538
CENTRE HISTORIC,DE  61  A  65  ANYS,209,191,400
CENTRE HISTORIC,DE  66  A  70  ANYS,154,156,310
CENTRE HISTORIC,DE  71  A  75  ANYS,119,161,280
CENTRE HISTORIC,DE  76  A  80  ANYS,89,151,240
CENTRE HISTORIC,MES   DE   80  ANYS,170,374,544
RAMBLA FERRAN - ESTACIO,DE   0  A   5  ANYS,104,108,212
RAMBLA FERRAN - ESTACIO,DE   6  A  10  ANYS,97,85,182
RAMBLA FERRAN - ESTACIO,DE  11  A  15  ANYS,67,77,144
RAMBLA FERRAN - ESTACIO,DE  16  A  20  ANYS,78,92,170
RAMBLA FERRAN - ESTACIO,DE  21  A  25  ANYS,126,109,235
RAMBLA FERRAN - ESTACIO,DE  26  A  30  ANYS,140,151,291
RAMBLA FERRAN - ESTACIO,DE  31  A  35  ANYS,165,132,297
RAMBLA FERRAN - ESTACIO,DE  36  A  40  ANYS,207,155,362
RAMBLA FERRAN - ESTACIO,DE  41  A  45  ANYS,210,155,365
RAMBLA FERRAN - ESTACIO,DE  46  A  50  ANYS,178,157,335
RAMBLA FERRAN - ESTACIO,DE  51  A  55  ANYS,143,141,284
RAMBLA FERRAN - ESTACIO,DE  56  A  60  ANYS,133,138,271
RAMBLA FERRAN - ESTACIO,DE  61  A  65  ANYS,88,104,192
RAMBLA FERRAN - ESTACIO,DE  66  A  70  ANYS,84,88,172
RAMBLA FERRAN - ESTACIO,DE  71  A  75  ANYS,45,60,105
RAMBLA FERRAN - ESTACIO,DE  76  A  80  ANYS,38,41,79
RAMBLA FERRAN - ESTACIO,MES   DE   80  ANYS,54,126,180
UNIVERSITAT,DE   0  A   5  ANYS,267,256,523
UNIVERSITAT,DE   6  A  10  ANYS,229,214,443
UNIVERSITAT,DE  11  A  15  ANYS,204,233,437
UNIVERSITAT,DE  16  A  20  ANYS,222,262,484
UNIVERSITAT,DE  21  A  25  ANYS,303,355,658
UNIVERSITAT,DE  26  A  30  ANYS,355,376,731
UNIVERSITAT,DE  31  A  35  ANYS,335,340,675
UNIVERSITAT,DE  36  A  40  ANYS,401,355,756
UNIVERSITAT,DE  41  A  45  ANYS,415,381,796
UNIVERSITAT,DE  46  A  50  ANYS,405,404,809
UNIVERSITAT,DE  51  A  55  ANYS,400,464,864
UNIVERSITAT,DE  56  A  60  ANYS,383,437,820
