NOM BARRI,EDATS,TOTAL HOMES,TOTAL DONES,TOTAL
CENTRE HISTORIC,DE   0  A   5  ANYS,314,319,633
CENTRE HISTORIC,DE   6  A  10  ANYS,277,244,521
CENTRE HISTORIC,DE  11  A  15  ANYS,219,181,400
CENTRE HISTORIC,DE  16  A  20  ANYS,226,220,446
CENTRE HISTORIC,DE  21  A  25  ANYS,287,316,603
CENTRE HISTORIC,DE  26  A  30  ANYS,366,337,703
CENTRE HISTORIC,DE  31  A  35  ANYS,448,373,821
CENTRE HISTORIC,DE  36  A  40  ANYS,616,432,1048
CENTRE HISTORIC,DE  41  A  45  ANYS,655,411,1066
CENTRE HISTORIC,DE  46  A  50  ANYS,529,390,919
CENTRE HISTORIC,DE  51  A  55  ANYS,429,330,759
CENTRE HISTORIC,DE  56  A  60  ANYS,316,242,558
CENTRE HISTORIC,DE  61  A  65  ANYS,220,198,418
CENTRE HISTORIC,DE  66  A  70  ANYS,159,160,319
CENTRE HISTORIC,DE  71  A  75  ANYS,116,160,276
CENTRE HISTORIC,DE  76  A  80  ANYS,89,153,242
CENTRE HISTORIC,MES   DE   80  ANYS,161,367,528
RAMBLA FERRAN - ESTACIO,DE   0  A   5  ANYS,95,96,191
RAMBLA FERRAN - ESTACIO,DE   6  A  10  ANYS,96,76,172
RAMBLA FERRAN - ESTACIO,DE  11  A  15  ANYS,67,77,144
RAMBLA FERRAN - ESTACIO,DE  16  A  20  ANYS,95,75,170
RAMBLA FERRAN - ESTACIO,DE  21  A  25  ANYS,116,124,240
RAMBLA FERRAN - ESTACIO,DE  26  A  30  ANYS,132,156,288
RAMBLA FERRAN - ESTACIO,DE  31  A  35  ANYS,156,127,283
RAMBLA FERRAN - ESTACIO,DE  36  A  40  ANYS,189,145,334
RAMBLA FERRAN - ESTACIO,DE  41  A  45  ANYS,214,153,367
RAMBLA FERRAN - ESTACIO,DE  46  A  50  ANYS,158,164,322
RAMBLA FERRAN - ESTACIO,DE  51  A  55  ANYS,153,124,277
RAMBLA FERRAN - ESTACIO,DE  56  A  60  ANYS,121,148,269
RAMBLA FERRAN - ESTACIO,DE  61  A  65  ANYS,104,114,218
RAMBLA FERRAN - ESTACIO,DE  66  A  70  ANYS,83,96,179
RAMBLA FERRAN - ESTACIO,DE  71  A  75  ANYS,53,52,105
RAMBLA FERRAN - ESTACIO,DE  76  A  80  ANYS,31,50,81
RAMBLA FERRAN - ESTACIO,MES   DE   80  ANYS,52,121,173
UNIVERSITAT,DE   0  A   5  ANYS,271,246,517
UNIVERSITAT,DE   6  A  10  ANYS,244,221,465
UNIVERSITAT,DE  11  A  15  ANYS,191,219,410
