Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;0 - 4;252;260;512;49,22;50,78
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;5 - 9;283;248;531;53,3;46,7
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;10 - 14;253;212;465;54,41;45,59
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;15 - 19;216;186;402;53,73;46,27
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;20 - 24;296;290;586;50,51;49,49
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;25 - 29;365;353;718;50,84;49,16
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;30 - 34;429;384;813;52,77;47,23
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;35 - 39;551;415;966;57,04;42,96
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;40 - 44;649;437;1086;59,76;40,24
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;45 - 49;563;407;970;58,04;41,96
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;50 - 54;462;346;808;57,18;42,82
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;55 - 59;374;285;659;56,75;43,25
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;60 - 64;244;206;450;54,22;45,78
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;65 - 69;185;177;362;51,1;48,9
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;70 - 74;125;145;270;46,3;53,7
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;75 - 79;85;153;238;35,71;64,29
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;80 - 84;71;159;230;30,87;69,13
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;85 - 89;65;136;201;32,34;67,66
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;90 - 94;32;71;103;31,07;68,93
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;95 - 99;10;18;28;35,71;64,29
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;100 - 104;0;2;2;0;100
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;105 - 109;0;2;2;0;100
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;1 CENTRE HISTORIC;120;0;0;0;0;0
Totals;;;;;;5510;4892;10402;52,97;47,03
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;10 BALAFIA;0 - 4;379;373;752;50,4;49,6
25;LLEIDA;120;LLEIDA;10 BALAFIA;5 - 9;524;472;996;52,61;47,39
25;LLEIDA;120;LLEIDA;10 BALAFIA;10 - 14;550;555;1105;49,77;50,23
25;LLEIDA;120;LLEIDA;10 BALAFIA;15 - 19;360;349;709;50,78;49,22
25;LLEIDA;120;LLEIDA;10 BALAFIA;20 - 24;333;286;619;53,8;46,2
25;LLEIDA;120;LLEIDA;10 BALAFIA;25 - 29;368;337;705;52,2;47,8
25;LLEIDA;120;LLEIDA;10 BALAFIA;30 - 34;370;431;801;46,19;53,81
25;LLEIDA;120;LLEIDA;10 BALAFIA;35 - 39;582;588;1170;49,74;50,26
25;LLEIDA;120;LLEIDA;10 BALAFIA;40 - 44;857;797;1654;51,81;48,19
25;LLEIDA;120;LLEIDA;10 BALAFIA;45 - 49;710;689;1399;50,75;49,25
25;LLEIDA;120;LLEIDA;10 BALAFIA;50 - 54;575;551;1126;51,07;48,93
25;LLEIDA;120;LLEIDA;10 BALAFIA;55 - 59;417;389;806;51,74;48,26
25;LLEIDA;120;LLEIDA;10 BALAFIA;60 - 64;326;323;649;50,23;49,77
25;LLEIDA;120;LLEIDA;10 BALAFIA;65 - 69;235;276;511;45,99;54,01
25;LLEIDA;120;LLEIDA;10 BALAFIA;70 - 74;218;280;498;43,78;56,22
25;LLEIDA;120;LLEIDA;10 BALAFIA;75 - 79;147;219;366;40,16;59,84
25;LLEIDA;120;LLEIDA;10 BALAFIA;80 - 84;122;169;291;41,92;58,08
25;LLEIDA;120;LLEIDA;10 BALAFIA;85 - 89;76;129;205;37,07;62,93
25;LLEIDA;120;LLEIDA;10 BALAFIA;90 - 94;30;60;90;33,33;66,67
25;LLEIDA;120;LLEIDA;10 BALAFIA;95 - 99;2;21;23;8,7;91,3
25;LLEIDA;120;LLEIDA;10 BALAFIA;100 - 104;0;2;2;0;100
25;LLEIDA;120;LLEIDA;10 BALAFIA;105 - 109;0;2;2;0;100
25;LLEIDA;120;LLEIDA;10 BALAFIA;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;10 BALAFIA;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;10 BALAFIA;120;0;0;0;0;0
Totals;;;;;;7181;7298;14479;49,6;50,4
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;0 - 4;93;99;192;48,44;51,56
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;5 - 9;121;138;259;46,72;53,28
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;10 - 14;129;141;270;47,78;52,22
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;15 - 19;116;138;254;45,67;54,33
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;20 - 24;106;94;200;53;47
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;25 - 29;109;91;200;54,5;45,5
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;30 - 34;109;100;209;52,15;47,85
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;35 - 39;145;131;276;52,54;47,46
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;40 - 44;181;181;362;50;50
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;45 - 49;183;171;354;51,69;48,31
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;50 - 54;163;142;305;53,44;46,56
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;55 - 59;131;114;245;53,47;46,53
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;60 - 64;104;79;183;56,83;43,17
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;65 - 69;74;98;172;43,02;56,98
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;70 - 74;68;100;168;40,48;59,52
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;75 - 79;41;66;107;38,32;61,68
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;80 - 84;45;61;106;42,45;57,55
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;85 - 89;22;31;53;41,51;58,49
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;90 - 94;2;11;13;15,38;84,62
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;95 - 99;1;1;2;50;50
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;100 - 104;0;0;0;0;0
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;105 - 109;0;0;0;0;0
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;115 - 119;0;0;0;0;0
